t,MV,PV,DV,SP,Man
0.000000000000000000e+00,7.000000000000000000e+01,2.608999999999999986e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,7.000000000000000000e+01,2.612000000000000099e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,7.000000000000000000e+01,2.608999999999999986e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,7.000000000000000000e+01,2.608999999999999986e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,7.000000000000000000e+01,2.612000000000000099e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.000000000000000000e+01,2.628000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.000000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.000000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,7.000000000000000000e+01,2.644000000000000128e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.000000000000000000e+01,2.667000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,7.000000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,7.000000000000000000e+01,2.680000000000000071e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.000000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,7.000000000000000000e+01,2.717999999999999972e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,7.000000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,7.000000000000000000e+01,2.741000000000000014e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,7.000000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,7.000000000000000000e+01,2.789000000000000057e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,7.000000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,7.000000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,7.000000000000000000e+01,2.841000000000000014e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,7.000000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,7.000000000000000000e+01,2.892000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,7.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,7.000000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,7.000000000000000000e+01,2.950000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,7.000000000000000000e+01,2.962999999999999901e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,7.000000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,7.000000000000000000e+01,3.014999999999999858e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,7.000000000000000000e+01,3.030999999999999872e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,7.000000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,7.000000000000000000e+01,3.082000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,7.000000000000000000e+01,3.094999999999999929e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,7.000000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,6.999999999999998579e+01,3.150000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,7.000000000000000000e+01,3.160000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,7.000000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,6.999999999999998579e+01,3.217999999999999972e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,7.000000000000000000e+01,3.236999999999999744e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,7.000000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,6.999999999999998579e+01,3.282000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,7.000000000000000000e+01,3.310999999999999943e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,7.000000000000000000e+01,3.324000000000000199e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,7.000000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,7.000000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,7.000000000000000000e+01,3.385000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,7.000000000000000000e+01,3.410999999999999943e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,7.000000000000000000e+01,3.442999999999999972e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,7.000000000000001421e+01,3.465999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,6.999999999999998579e+01,3.475999999999999801e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,6.999999999999998579e+01,3.507999999999999829e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,7.000000000000000000e+01,3.534000000000000341e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,7.000000000000000000e+01,3.542999999999999972e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,7.000000000000001421e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,7.000000000000001421e+01,3.600999999999999801e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,7.000000000000000000e+01,3.617000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,7.000000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,7.000000000000000000e+01,3.659000000000000341e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,7.000000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,7.000000000000001421e+01,3.700999999999999801e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,7.000000000000000000e+01,3.703999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,6.999999999999998579e+01,3.732999999999999829e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,7.000000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,7.000000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,7.000000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,6.999999999999998579e+01,3.827000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,7.000000000000000000e+01,3.832999999999999829e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,7.000000000000000000e+01,3.859000000000000341e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,7.000000000000000000e+01,3.861999999999999744e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,7.000000000000000000e+01,3.895000000000000284e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,7.000000000000000000e+01,3.907000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.100000000000000000e+01,7.000000000000000000e+01,3.927000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,7.000000000000000000e+01,3.959000000000000341e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,7.000000000000000000e+01,3.982000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.400000000000000000e+01,7.000000000000000000e+01,3.990999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.500000000000000000e+01,7.000000000000000000e+01,4.022999999999999687e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.600000000000000000e+01,7.000000000000000000e+01,4.032999999999999829e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.700000000000000000e+01,7.000000000000000000e+01,4.056000000000000227e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.800000000000000000e+01,7.000000000000000000e+01,4.088000000000000256e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.900000000000000000e+01,7.000000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+01,7.000000000000000000e+01,4.129999999999999716e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.100000000000000000e+01,7.000000000000000000e+01,4.152000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.200000000000000000e+01,7.000000000000000000e+01,4.178000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,7.000000000000000000e+01,4.185000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.400000000000000000e+01,7.000000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.500000000000000000e+01,7.000000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.600000000000000000e+01,7.000000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.700000000000000000e+01,7.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.800000000000000000e+01,7.000000000000000000e+01,4.281000000000000227e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.900000000000000000e+01,7.000000000000000000e+01,4.284000000000000341e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+01,7.000000000000000000e+01,4.313000000000000256e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.100000000000000000e+01,7.000000000000000000e+01,4.317000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.200000000000000000e+01,7.000000000000000000e+01,4.329999999999999716e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
