t,MV,PV,DV,SP,Man
0.000000000000000000e+00,7.000000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,7.000000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,7.000000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,7.000000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,7.000000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.000000000000000000e+01,2.553999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.000000000000000000e+01,2.567000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.000000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,7.000000000000000000e+01,2.573000000000000043e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.000000000000000000e+01,2.580000000000000071e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,7.000000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,7.000000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.000000000000000000e+01,2.633999999999999986e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,7.000000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,7.000000000000000000e+01,2.667000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,7.000000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,7.000000000000000000e+01,2.698999999999999844e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,7.000000000000000000e+01,2.705000000000000071e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,7.000000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,7.000000000000000000e+01,2.750000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,7.000000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,7.000000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,7.000000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,7.000000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,7.000000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,7.000000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,7.000000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,7.000000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,7.000000000000000000e+01,2.950000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,7.000000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,7.000000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
